id,area,square_feet,num_bedrooms,num_bathrooms,year_built,has_garage,price
2265,Viman Nagar,1489,3,3,2018,1,12592628
2266,Koregaon Park,3346,5,4,2000,1,36025369
2267,Viman Nagar,4060,5,4,2020,1,34093148
2268,Viman Nagar,2086,4,3,2014,0,17582754
2269,Hinjewadi,1824,4,3,1995,1,10190797
2270,Hinjewadi,1983,4,3,2001,1,10453713
2271,Kalyani Nagar,845,2,2,1995,1,7980137
2272,Kalyani Nagar,602,1,2,1998,0,5904274
2273,Koregaon Park,656,1,2,2011,1,7733428
2274,Pimpri-Chinchwad,2395,4,4,2016,0,15855651
2275,Koregaon Park,2215,4,4,2016,1,28030156
2276,Kalyani Nagar,3351,5,5,2003,1,31433225
2277,Pimpri-Chinchwad,1387,3,2,1998,0,8669878
2278,Pimpri-Chinchwad,3512,5,5,2014,1,21445842
2279,Koregaon Park,713,1,2,2016,0,8670245
2280,Pimpri-Chinchwad,1455,3,2,2005,1,9652517
2281,Koregaon Park,749,1,1,2001,0,7963213
2282,Kalyani Nagar,1900,4,4,2003,1,18672800
2283,Viman Nagar,3434,5,4,2006,1,26274070
2284,Kalyani Nagar,2031,4,4,2005,1,20291376
2285,Pimpri-Chinchwad,1389,3,3,2002,0,8791586
2286,Hinjewadi,4141,5,5,1996,0,20960116
2287,Pimpri-Chinchwad,690,1,1,1993,1,3972437
2288,Pimpri-Chinchwad,1120,2,2,2002,1,7355681
2289,Koregaon Park,3869,5,5,1993,1,42788519
2290,Viman Nagar,2104,4,4,1993,1,16094459
2291,Kalyani Nagar,596,1,2,2015,0,6552614
2292,Hinjewadi,1510,3,3,1996,1,7780352
2293,Koregaon Park,1525,3,3,2002,0,18256561
2294,Viman Nagar,3240,5,5,2024,1,27794784
2295,Viman Nagar,887,2,2,2007,1,7416177
2296,Koregaon Park,3040,5,5,1998,1,33303094
2297,Kalyani Nagar,3828,5,4,2004,1,36834351
2298,Kalyani Nagar,2075,4,4,2021,0,22950593
2299,Koregaon Park,608,1,2,2012,1,7512145
2300,Hinjewadi,2347,4,3,1995,1,11679844
2301,Pimpri-Chinchwad,2391,4,4,2007,1,14778012
2302,Pimpri-Chinchwad,548,1,1,2024,0,3936559
2303,Hinjewadi,4050,5,4,2018,1,23367448
2304,Kalyani Nagar,613,1,2,2009,1,6112417
2305,Hinjewadi,3516,5,4,2015,1,20154858
2306,Pimpri-Chinchwad,4198,5,5,2016,0,26254199
2307,Viman Nagar,517,1,1,1996,0,4133006
2308,Koregaon Park,1145,2,2,2006,1,13969834
2309,Viman Nagar,1067,2,2,2012,1,8700268
2310,Kalyani Nagar,565,1,1,2021,0,6162338
2311,Viman Nagar,1378,3,2,2021,1,11792769
2312,Pimpri-Chinchwad,2125,4,3,2011,1,13614714
2313,Pimpri-Chinchwad,2571,4,4,2000,1,14862316
2314,Hinjewadi,707,1,2,2010,0,3958370
2315,Hinjewadi,2341,4,4,2025,1,13793299
2316,Kalyani Nagar,1566,3,2,2000,1,14385106
2317,Pimpri-Chinchwad,1936,4,4,2020,1,13858368
2318,Hinjewadi,1983,4,3,2001,1,11344371
2319,Hinjewadi,824,2,2,2007,0,4744041
2320,Pimpri-Chinchwad,2415,4,3,1997,1,13950959
2321,Hinjewadi,2021,4,4,2005,1,11329278
2322,Viman Nagar,947,2,2,1993,1,7330045
2323,Kalyani Nagar,514,1,1,2018,0,5212676
2324,Viman Nagar,550,1,1,2021,1,5236428
2325,Viman Nagar,606,1,2,2005,0,4865371
2326,Hinjewadi,835,2,2,2025,0,5161894
2327,Kalyani Nagar,4028,5,4,2020,1,42289459
2328,Viman Nagar,3538,5,4,2016,1,28388558
2329,Hinjewadi,982,2,2,2023,1,6482167
2330,Kalyani Nagar,817,2,2,2010,1,8439778
2331,Koregaon Park,1108,2,2,2004,1,12551031
2332,Kalyani Nagar,578,1,2,2000,0,5759085
2333,Viman Nagar,1353,3,3,2015,0,11885564
2334,Pimpri-Chinchwad,1835,4,3,2024,1,12486255
2335,Pimpri-Chinchwad,3943,5,5,1994,1,21743727
2336,Viman Nagar,510,1,2,2019,0,4398651
2337,Pimpri-Chinchwad,877,2,2,2013,0,5728088
2338,Hinjewadi,805,2,2,2011,0,4912955
2339,Hinjewadi,2555,4,4,2002,1,13702314
2340,Hinjewadi,644,1,1,2018,0,3850353
2341,Koregaon Park,546,1,1,2021,0,6652184
2342,Viman Nagar,587,1,1,2008,1,5164877
2343,Pimpri-Chinchwad,1673,3,3,2005,1,10868695
2344,Hinjewadi,2748,5,5,1994,1,14879775
2345,Kalyani Nagar,628,1,2,2003,0,6403437
2346,Viman Nagar,1335,3,3,1998,1,10371249
2347,Koregaon Park,1949,4,3,2002,1,22423455
2348,Hinjewadi,898,2,2,2002,1,5391784
2349,Koregaon Park,528,1,2,2019,0,6492268
2350,Kalyani Nagar,3695,5,5,2019,1,36911096
2351,Koregaon Park,1411,3,3,2024,0,18161892
2352,Kalyani Nagar,1592,3,2,2017,0,15991572
2353,Hinjewadi,3733,5,4,2025,1,21458445
2354,Viman Nagar,2307,4,4,2011,1,18541966
2355,Kalyani Nagar,2117,4,4,2013,1,21714146
2356,Hinjewadi,573,1,1,2016,1,3405394
2357,Kalyani Nagar,3420,5,5,2008,1,33982049
2358,Hinjewadi,653,1,2,2009,0,3819315
2359,Viman Nagar,3472,5,5,2021,1,30620446
2360,Pimpri-Chinchwad,2830,5,5,2000,1,16669274
2361,Pimpri-Chinchwad,1015,2,2,2003,0,6252711
2362,Koregaon Park,2551,4,3,2008,1,30839283
2363,Hinjewadi,894,2,2,2014,1,5595284
2364,Pimpri-Chinchwad,2030,4,3,2006,1,13209508
2365,Koregaon Park,1508,3,2,2023,1,20335014
2366,Kalyani Nagar,1210,3,3,2000,0,11852056
2367,Koregaon Park,3480,5,5,2006,1,42012021
2368,Pimpri-Chinchwad,1512,3,2,2014,1,9603876
2369,Pimpri-Chinchwad,1425,3,3,1990,1,8530851
2370,Pimpri-Chinchwad,2137,4,4,2025,0,14712086
2371,Koregaon Park,715,1,1,1994,0,7826399
2372,Hinjewadi,1282,3,3,2024,1,8388018
2373,Koregaon Park,648,1,1,2020,1,7996983
2374,Koregaon Park,899,2,2,2013,0,11075279
2375,Viman Nagar,2477,4,4,2004,1,18757988
2376,Kalyani Nagar,605,1,1,2026,1,6992748
2377,Pimpri-Chinchwad,1249,3,3,1996,0,7769344
2378,Pimpri-Chinchwad,4181,5,4,2023,1,26720682
2379,Koregaon Park,699,1,1,2019,1,8673863
2380,Koregaon Park,678,1,1,2026,0,8750432
2381,Koregaon Park,2018,4,4,1996,1,23567739
2382,Viman Nagar,1281,3,2,2023,1,12018617
2383,Kalyani Nagar,970,2,2,2006,1,9531127
2384,Pimpri-Chinchwad,1132,2,2,2006,1,7598761
2385,Viman Nagar,972,2,2,1994,1,7844464
2386,Viman Nagar,1102,2,2,2009,1,9467428
2387,Kalyani Nagar,1527,3,3,2011,1,15314427
2388,Kalyani Nagar,2062,4,3,2004,1,20310973
2389,Hinjewadi,934,2,2,1990,0,4698791
2390,Pimpri-Chinchwad,690,1,2,2008,1,4738363
2391,Hinjewadi,1699,3,2,1996,0,8988023
2392,Hinjewadi,847,2,2,2010,1,4982334
2393,Koregaon Park,3225,5,5,2018,1,38586507
2394,Pimpri-Chinchwad,585,1,1,2014,0,3670895
2395,Viman Nagar,3494,5,4,2005,1,26207042
2396,Viman Nagar,1380,3,2,2024,1,12015742
2397,Viman Nagar,536,1,1,1998,0,4119697
2398,Viman Nagar,2282,4,3,1992,1,17104748
2399,Koregaon Park,1665,3,3,2024,1,21947991
2400,Pimpri-Chinchwad,4010,5,5,2015,1,24169793
2401,Kalyani Nagar,1280,3,2,1992,1,11383642
2402,Kalyani Nagar,1120,2,2,2022,0,11593687
2403,Viman Nagar,591,1,1,2020,0,4954320
2404,Koregaon Park,1086,2,2,2011,1,12992481
2405,Koregaon Park,3914,5,5,2024,1,50487623
2406,Viman Nagar,1505,3,2,1993,1,11825054
2407,Hinjewadi,574,1,1,2022,0,3434125
2408,Pimpri-Chinchwad,728,1,1,2016,0,4596770
2409,Viman Nagar,921,2,2,2006,1,7916913
2410,Koregaon Park,1338,3,3,1993,0,14624024
2411,Hinjewadi,1141,2,2,2025,1,7365844
2412,Pimpri-Chinchwad,3077,5,5,2012,1,20245839
2413,Viman Nagar,2803,5,5,2024,1,24736388
2414,Hinjewadi,866,2,2,2006,1,5338321
2415,Viman Nagar,2206,4,3,2004,1,16784293
2416,Koregaon Park,2288,4,4,1996,1,25957283
2417,Pimpri-Chinchwad,960,2,2,2026,0,6543604
2418,Viman Nagar,1637,3,3,1998,0,13039872
2419,Pimpri-Chinchwad,561,1,1,2024,1,4008219
2420,Koregaon Park,644,1,2,2008,0,7378157
2421,Pimpri-Chinchwad,3492,5,5,1992,1,18860674
2422,Viman Nagar,506,1,2,2002,0,4295871
2423,Koregaon Park,1293,3,3,2001,1,15710502
2424,Kalyani Nagar,698,1,1,1991,1,6604897
2425,Koregaon Park,3893,5,4,2002,1,42287739
2426,Pimpri-Chinchwad,3409,5,5,1992,1,19030261
2427,Pimpri-Chinchwad,3585,5,4,2005,1,21205129
2428,Pimpri-Chinchwad,979,2,2,1999,0,6175918
2429,Viman Nagar,962,2,2,2019,1,8790120
2430,Hinjewadi,724,1,2,2022,0,4176870
2431,Hinjewadi,2580,4,4,2008,1,14289885
2432,Pimpri-Chinchwad,2253,4,3,1995,0,12995172
2433,Kalyani Nagar,1521,3,3,2017,1,16225789
2434,Kalyani Nagar,3381,5,4,2000,1,30927855
2435,Kalyani Nagar,532,1,2,2014,0,5483334
2436,Viman Nagar,733,1,1,2018,0,6233270
2437,Kalyani Nagar,1436,3,2,2020,0,14496117
2438,Koregaon Park,3829,5,5,2006,0,42262357
2439,Viman Nagar,585,1,2,2002,1,5008485
2440,Koregaon Park,3335,5,5,2008,1,37784486
2441,Viman Nagar,3577,5,4,2000,1,26056018
2442,Viman Nagar,719,1,1,2024,0,6465475
2443,Hinjewadi,2252,4,4,2011,1,13204031
2444,Hinjewadi,2092,4,3,2006,1,11731690
2445,Kalyani Nagar,2322,4,3,2025,1,24233083
2446,Viman Nagar,1540,3,3,1991,0,11674997
2447,Koregaon Park,1007,2,2,2020,0,13122152
2448,Hinjewadi,854,2,2,2013,1,5369051
2449,Kalyani Nagar,2011,4,3,1993,1,18064847
2450,Hinjewadi,1487,3,3,2014,1,9000857
2451,Viman Nagar,1462,3,3,2005,1,11764067
2452,Koregaon Park,2180,4,3,2003,1,26210041
2453,Kalyani Nagar,522,1,2,2020,0,5931905
2454,Kalyani Nagar,3856,5,5,1999,1,37481122
2455,Koregaon Park,811,2,2,2019,1,10877702
2456,Hinjewadi,1674,3,3,2024,1,10041761
2457,Koregaon Park,2992,5,5,2002,1,34766386
2458,Viman Nagar,3871,5,5,2016,1,30900549
2459,Pimpri-Chinchwad,512,1,2,2015,0,3461106
2460,Kalyani Nagar,2878,5,4,2003,1,27199800
2461,Viman Nagar,1597,3,3,1996,1,12113547
2462,Viman Nagar,1339,3,2,2022,1,11826654
2463,Kalyani Nagar,2404,4,4,2001,1,22009302
2464,Koregaon Park,4177,5,5,2014,1,50527837
2465,Hinjewadi,3594,5,4,2022,1,21115187
2466,Pimpri-Chinchwad,717,1,2,1994,0,3995942
2467,Koregaon Park,544,1,1,2011,0,6566130
2468,Kalyani Nagar,1690,3,2,1994,1,15336931
2469,Pimpri-Chinchwad,926,2,2,1993,0,5372648
2470,Hinjewadi,2434,4,4,1995,1,13157939
2471,Koregaon Park,697,1,1,2003,1,7937504
2472,Koregaon Park,1476,3,2,1999,1,16816801
2473,Hinjewadi,1489,3,3,2004,0,8468244
2474,Viman Nagar,1558,3,3,2012,1,13646862
2475,Pimpri-Chinchwad,1588,3,2,1991,1,8890473
2476,Viman Nagar,523,1,1,1993,0,4007671
2477,Pimpri-Chinchwad,2724,5,4,2006,1,16622967
2478,Hinjewadi,660,1,1,2010,1,3728070
2479,Pimpri-Chinchwad,1604,3,2,1998,1,9677585
2480,Koregaon Park,1347,3,2,2002,1,15552101
2481,Kalyani Nagar,2128,4,4,1990,1,20064049
2482,Koregaon Park,1491,3,3,2008,0,17293153
2483,Koregaon Park,902,2,2,2000,0,10364284
2484,Koregaon Park,566,1,1,2022,1,7487391
2485,Koregaon Park,1030,2,2,2021,0,12818177
2486,Viman Nagar,572,1,1,1995,0,4332343
2487,Pimpri-Chinchwad,2005,4,3,1999,1,12239537
2488,Koregaon Park,1628,3,2,1994,0,17478441
2489,Pimpri-Chinchwad,1132,2,2,1998,0,7018791
2490,Viman Nagar,537,1,2,2003,0,4321327
2491,Kalyani Nagar,663,1,1,1993,1,6443053
2492,Pimpri-Chinchwad,1334,3,2,1990,1,7743020
2493,Pimpri-Chinchwad,2302,4,3,1990,1,13523392
2494,Kalyani Nagar,1079,2,2,2025,0,11218657
2495,Pimpri-Chinchwad,2082,4,4,2018,1,13653113
2496,Koregaon Park,684,1,1,2025,0,8302024
2497,Koregaon Park,1422,3,2,2023,1,19148849
2498,Viman Nagar,1114,2,2,2004,0,9025577
2499,Koregaon Park,3942,5,5,2022,1,47613900
2500,Pimpri-Chinchwad,2600,4,4,2002,1,16054048
2501,Kalyani Nagar,1259,3,2,2009,1,13119631
2502,Pimpri-Chinchwad,999,2,2,2017,0,6441674
2503,Pimpri-Chinchwad,852,2,2,2010,1,6008778
2504,Viman Nagar,2487,4,3,2008,1,20560516
2505,Koregaon Park,4027,5,4,2002,1,45943241
2506,Koregaon Park,895,2,2,2016,0,11522000
2507,Koregaon Park,1508,3,2,1998,1,16563714
2508,Viman Nagar,687,1,2,2002,0,5375081
2509,Kalyani Nagar,1819,4,4,1998,1,17841801
2510,Hinjewadi,1538,3,3,2018,1,9565374
2511,Hinjewadi,1481,3,2,2017,0,8307716
2512,Koregaon Park,3603,5,5,2024,1,44391973
2513,Koregaon Park,818,2,2,1995,0,9351815
2514,Pimpri-Chinchwad,1635,3,3,2005,1,9946220
2515,Kalyani Nagar,3493,5,5,1997,1,33586728
2516,Hinjewadi,3584,5,4,2022,1,21827812
2517,Hinjewadi,2106,4,4,1992,0,11179598
2518,Koregaon Park,1298,3,2,2001,1,14960086
2519,Kalyani Nagar,2992,5,5,2004,0,28479434
2520,Koregaon Park,942,2,2,2009,1,11056231
2521,Viman Nagar,948,2,2,2005,0,7587544
2522,Kalyani Nagar,1403,3,3,2000,1,14372431
2523,Kalyani Nagar,1122,2,2,1999,0,11076775
2524,Pimpri-Chinchwad,1142,2,2,2012,0,7359744
2525,Pimpri-Chinchwad,728,1,1,2026,0,4825902
2526,Kalyani Nagar,1960,4,4,1998,1,19401316
2527,Hinjewadi,927,2,2,2000,1,5394983
2528,Hinjewadi,1041,2,2,2013,0,6205402
2529,Hinjewadi,748,1,1,2013,0,4133322
2530,Pimpri-Chinchwad,838,2,2,1992,0,5241796
2531,Pimpri-Chinchwad,1813,4,4,2007,1,12097110
2532,Viman Nagar,1321,3,2,2010,1,10876139
2533,Hinjewadi,3023,5,4,2021,1,17440792
2534,Hinjewadi,2023,4,3,2015,1,12164202
2535,Pimpri-Chinchwad,1116,2,2,1992,1,6774444
2536,Hinjewadi,2283,4,3,2023,1,13857644
2537,Kalyani Nagar,1111,2,2,2017,1,12342701
2538,Pimpri-Chinchwad,1277,3,3,2013,0,8427228
2539,Pimpri-Chinchwad,1413,3,2,2024,1,10271058
2540,Koregaon Park,2539,4,3,2002,1,29517972
2541,Kalyani Nagar,2143,4,3,2015,1,22664443
2542,Viman Nagar,2129,4,3,2000,0,16262296
2543,Pimpri-Chinchwad,1228,3,3,1990,1,7236948
2544,Hinjewadi,1908,4,3,2001,1,10486632
2545,Pimpri-Chinchwad,1455,3,2,2025,1,9844001
2546,Viman Nagar,3704,5,4,2020,1,32669267
2547,Hinjewadi,1142,2,2,1992,0,5978312
2548,Viman Nagar,898,2,2,2024,0,8397417
2549,Kalyani Nagar,2407,4,3,2015,1,24645209
2550,Hinjewadi,1048,2,2,2020,1,6764229
2551,Hinjewadi,3836,5,5,2013,1,21100271
2552,Pimpri-Chinchwad,1073,2,2,1999,0,6635752
2553,Pimpri-Chinchwad,2257,4,4,2009,1,14011380
2554,Hinjewadi,536,1,1,1994,1,2900186
2555,Viman Nagar,1659,3,3,2025,0,14973284
2556,Viman Nagar,588,1,2,2012,1,5001903
2557,Viman Nagar,2038,4,4,1996,1,15820262
2558,Hinjewadi,2104,4,4,2026,1,13785687
2559,Koregaon Park,1078,2,2,1990,0,11629041
2560,Hinjewadi,3629,5,5,1991,1,17294907
2561,Viman Nagar,602,1,2,1995,1,4868184
2562,Kalyani Nagar,937,2,2,2017,0,9532176
2563,Koregaon Park,1657,3,3,2021,0,21122474
2564,Pimpri-Chinchwad,633,1,2,1997,0,3721381
2565,Kalyani Nagar,1277,3,3,2010,1,13447599
2566,Koregaon Park,1499,3,2,2012,0,17317415
2567,Koregaon Park,894,2,2,2024,0,12071714
2568,Viman Nagar,3475,5,4,2004,1,26568036
2569,Kalyani Nagar,507,1,1,2025,0,5311595
2570,Pimpri-Chinchwad,3620,5,4,1992,1,20912653
2571,Hinjewadi,1318,3,2,2022,0,8222312
2572,Kalyani Nagar,1499,3,3,2015,1,16469476
2573,Pimpri-Chinchwad,908,2,2,2019,0,6047024
2574,Pimpri-Chinchwad,1375,3,2,1994,0,8247573
2575,Hinjewadi,1257,3,3,1995,1,7041716
2576,Kalyani Nagar,4107,5,5,2010,1,41721581
2577,Pimpri-Chinchwad,2198,4,3,2018,1,14478510
2578,Pimpri-Chinchwad,2585,4,4,2010,1,15911776
2579,Pimpri-Chinchwad,1587,3,3,2001,1,9813156
2580,Koregaon Park,1215,3,3,1994,1,13947367
2581,Pimpri-Chinchwad,1506,3,3,2016,1,9968188
2582,Pimpri-Chinchwad,1139,2,2,2017,0,7599125
2583,Hinjewadi,1384,3,2,1999,1,7290512
2584,Viman Nagar,4109,5,5,2004,1,32385054
2585,Kalyani Nagar,1407,3,3,2011,1,14550462
2586,Kalyani Nagar,2102,4,4,2016,1,23096631
2587,Pimpri-Chinchwad,3124,5,4,2001,1,18727491
2588,Kalyani Nagar,2045,4,3,2004,1,20501898
2589,Kalyani Nagar,967,2,2,2015,0,9979437
2590,Hinjewadi,3298,5,4,2026,1,19409161
2591,Viman Nagar,861,2,2,2018,0,7670424
2592,Koregaon Park,1432,3,2,2009,1,17993006
2593,Pimpri-Chinchwad,901,2,2,2021,0,6207814
2594,Koregaon Park,858,2,2,2010,1,10548960
2595,Viman Nagar,2051,4,4,2007,0,16644641
2596,Viman Nagar,2430,4,4,2004,0,18931309
2597,Viman Nagar,2232,4,3,1990,1,16983923
2598,Viman Nagar,656,1,1,1992,0,4692327
2599,Viman Nagar,3696,5,5,2017,1,30966886
2600,Viman Nagar,2862,5,4,2019,1,23400871
2601,Hinjewadi,1897,4,4,2018,1,11677634
2602,Pimpri-Chinchwad,879,2,2,2021,0,6032783
2603,Pimpri-Chinchwad,3480,5,5,2013,1,21239567
2604,Kalyani Nagar,668,1,1,2026,0,7289974
2605,Koregaon Park,569,1,1,1992,1,6438515
2606,Koregaon Park,552,1,2,2008,0,6526117
2607,Viman Nagar,1296,3,3,2007,1,11282677
2608,Kalyani Nagar,1342,3,2,2007,1,13896910
2609,Kalyani Nagar,3248,5,5,1996,1,30958559
2610,Pimpri-Chinchwad,854,2,2,2007,1,5700871
2611,Hinjewadi,1412,3,2,2018,1,8838930
2612,Viman Nagar,980,2,2,1999,0,7334245
2613,Kalyani Nagar,1689,3,2,2003,1,16223548
2614,Koregaon Park,1497,3,3,1992,1,17071310
2615,Hinjewadi,632,1,1,2016,0,3609851
2616,Pimpri-Chinchwad,1517,3,3,1996,1,9639113
2617,Hinjewadi,1043,2,2,2000,1,5867917
2618,Kalyani Nagar,2479,4,3,2012,1,24075614
2619,Kalyani Nagar,1354,3,2,2013,1,13480010
2620,Viman Nagar,2506,4,3,2022,1,21307689
2621,Kalyani Nagar,1993,4,4,2013,1,21748844
2622,Hinjewadi,506,1,2,2005,0,2972594
2623,Kalyani Nagar,2708,5,5,1991,1,24539257
2624,Hinjewadi,2950,5,5,2010,1,16419719
2625,Kalyani Nagar,2117,4,4,2003,1,20933923
2626,Hinjewadi,2916,5,4,2002,1,15637856
2627,Pimpri-Chinchwad,1585,3,3,2026,1,11364238
2628,Pimpri-Chinchwad,1940,4,4,1996,1,11279957
2629,Koregaon Park,588,1,2,2013,1,7499955
2630,Viman Nagar,2311,4,3,2003,1,19026790
2631,Koregaon Park,3380,5,4,2004,1,39260465
2632,Koregaon Park,824,2,2,2014,0,10120590
2633,Viman Nagar,2127,4,3,2004,1,17041987
2634,Hinjewadi,1961,4,4,1999,1,10540301
2635,Koregaon Park,1305,3,2,2023,1,17818717
2636,Koregaon Park,2397,4,3,1998,1,27002375
2637,Pimpri-Chinchwad,532,1,1,2014,0,3548473
2638,Koregaon Park,846,2,2,2002,1,9779882
2639,Koregaon Park,1287,3,2,2001,1,14621704
2640,Hinjewadi,1120,2,2,2002,1,5945923
2641,Kalyani Nagar,1130,2,2,2017,1,12132098
2642,Kalyani Nagar,3934,5,5,1991,0,33737372
2643,Pimpri-Chinchwad,998,2,2,2002,0,6291845
2644,Kalyani Nagar,2341,4,3,1999,1,21427423
2645,Pimpri-Chinchwad,1284,3,2,2001,1,8348322
2646,Koregaon Park,514,1,2,2017,0,6785671
2647,Viman Nagar,2288,4,4,1998,1,18458285
2648,Kalyani Nagar,936,2,2,2012,1,9956745
2649,Pimpri-Chinchwad,1035,2,2,2005,0,6374466
2650,Koregaon Park,1986,4,4,2006,1,22561700
2651,Pimpri-Chinchwad,2723,5,5,1990,1,14977197
2652,Pimpri-Chinchwad,1379,3,2,1996,1,8252424
2653,Kalyani Nagar,3005,5,5,1999,1,28314287
2654,Viman Nagar,3322,5,4,1999,1,25789533
2655,Kalyani Nagar,2264,4,4,2019,1,24955546
2656,Koregaon Park,1373,3,3,2003,0,16562479
2657,Viman Nagar,1695,3,3,2002,1,13983071
2658,Viman Nagar,2316,4,4,1998,1,17531950
2659,Kalyani Nagar,1888,4,4,2014,1,20081895
2660,Pimpri-Chinchwad,2912,5,4,2006,1,17949457
2661,Hinjewadi,3639,5,4,2018,1,20657643
2662,Kalyani Nagar,3130,5,5,1998,1,30308401
2663,Pimpri-Chinchwad,509,1,1,1998,0,2921956
2664,Koregaon Park,1472,3,2,2006,0,17297039
2665,Koregaon Park,860,2,2,2013,0,10817116
2666,Pimpri-Chinchwad,1387,3,3,2026,1,10361674
2667,Pimpri-Chinchwad,2016,4,3,2001,1,12255246
2668,Hinjewadi,567,1,2,1999,1,3362963
2669,Pimpri-Chinchwad,2326,4,4,2021,0,15653024
2670,Kalyani Nagar,2274,4,3,1993,1,20424004
2671,Viman Nagar,994,2,2,2003,1,7992768
2672,Koregaon Park,718,1,2,2015,0,8517645
2673,Viman Nagar,1052,2,2,1992,0,7598493
2674,Viman Nagar,512,1,2,1995,0,4018696
2675,Kalyani Nagar,958,2,2,2001,1,9565547
2676,Pimpri-Chinchwad,1060,2,2,2006,0,6502362
2677,Kalyani Nagar,1000,2,2,2015,1,10247610
2678,Kalyani Nagar,1024,2,2,2026,0,10753344
2679,Koregaon Park,1403,3,3,2025,1,18658824
2680,Viman Nagar,2843,5,5,2020,1,24941369
2681,Hinjewadi,1478,3,3,2009,1,8456093
2682,Koregaon Park,2964,5,4,2004,1,33835205
2683,Pimpri-Chinchwad,867,2,2,2009,0,5481016
2684,Kalyani Nagar,2404,4,3,2003,1,23515657
2685,Viman Nagar,913,2,2,2022,1,7989919
2686,Hinjewadi,3799,5,5,2005,1,20577989
2687,Koregaon Park,609,1,2,2023,1,7694409
2688,Hinjewadi,644,1,2,2013,1,3902908
2689,Hinjewadi,1123,2,2,1996,0,6035841
2690,Hinjewadi,1075,2,2,2001,1,6049693
2691,Pimpri-Chinchwad,2447,4,3,2022,1,17229556
2692,Pimpri-Chinchwad,3145,5,5,2018,1,21414482
2693,Kalyani Nagar,641,1,2,2006,1,6564352
2694,Koregaon Park,2961,5,5,2000,1,32576100
2695,Pimpri-Chinchwad,1285,3,2,2005,0,7944727
2696,Viman Nagar,3370,5,4,2013,1,27896944
2697,Kalyani Nagar,2154,4,3,1991,1,18922900
2698,Kalyani Nagar,1281,3,2,2011,1,13110053
2699,Pimpri-Chinchwad,2263,4,4,2006,1,14440062
2700,Pimpri-Chinchwad,3477,5,5,2023,1,24202361
2701,Koregaon Park,2927,5,4,2024,1,37878861
2702,Koregaon Park,651,1,1,1994,0,7138804
2703,Kalyani Nagar,944,2,2,2017,1,10121471
2704,Hinjewadi,1457,3,3,2007,0,8052479
2705,Koregaon Park,1344,3,2,1998,1,14588255
2706,Viman Nagar,2940,5,4,2018,1,26200838
2707,Viman Nagar,2286,4,4,2008,1,19244193
2708,Hinjewadi,1526,3,2,2012,1,8688082
2709,Kalyani Nagar,627,1,1,2024,0,6698307
2710,Hinjewadi,3940,5,5,2010,1,22051245
2711,Viman Nagar,4033,5,4,2016,1,31834181
2712,Hinjewadi,1889,4,4,2023,1,11765866
2713,Kalyani Nagar,602,1,1,2015,1,6593355
2714,Hinjewadi,1090,2,2,2024,0,6643489
2715,Viman Nagar,2320,4,4,2008,0,18275332
2716,Hinjewadi,547,1,1,2016,0,3300756
2717,Kalyani Nagar,1059,2,2,2024,0,11541743
2718,Pimpri-Chinchwad,1328,3,2,2025,1,9985478
2719,Viman Nagar,1118,2,2,1997,0,8652420
2720,Viman Nagar,668,1,1,2001,0,5058946
2721,Pimpri-Chinchwad,681,1,2,2020,1,4992309
2722,Pimpri-Chinchwad,2076,4,3,2005,1,13572962
2723,Pimpri-Chinchwad,622,1,1,2011,0,4099423
2724,Hinjewadi,2243,4,4,2016,1,13786815
2725,Hinjewadi,1003,2,2,2006,1,5766155
2726,Viman Nagar,2191,4,4,1991,1,16721259
2727,Hinjewadi,932,2,2,2001,1,5519163
2728,Hinjewadi,746,1,1,2012,0,4030755
2729,Hinjewadi,836,2,2,2012,0,4958955
2730,Kalyani Nagar,1477,3,2,2018,1,16325857
2731,Pimpri-Chinchwad,1505,3,3,1999,1,9164430
2732,Koregaon Park,3323,5,4,1997,1,38132030
2733,Viman Nagar,3200,5,4,2019,1,26625707
2734,Koregaon Park,653,1,1,2022,0,7826211
2735,Viman Nagar,1390,3,2,2008,0,11230790
2736,Viman Nagar,1098,2,2,1997,0,8527786
2737,Koregaon Park,3123,5,5,2024,1,41298058
2738,Pimpri-Chinchwad,2321,4,3,1991,1,13310146
2739,Koregaon Park,4056,5,5,2005,1,44413986
2740,Hinjewadi,1505,3,2,2004,1,8537336
2741,Kalyani Nagar,1985,4,4,1991,1,17895906
2742,Viman Nagar,1943,4,4,2013,1,17308291
2743,Kalyani Nagar,2826,5,5,2024,1,29380169
2744,Koregaon Park,2285,4,4,2008,1,26310965
2745,Hinjewadi,2444,4,4,2009,1,13244438
2746,Kalyani Nagar,2566,4,4,1997,1,22727705
2747,Pimpri-Chinchwad,2781,5,5,2005,1,18062211
2748,Koregaon Park,4002,5,5,2017,1,47060361
2749,Viman Nagar,577,1,2,1995,1,4465805
2750,Hinjewadi,515,1,1,2019,1,3242176
2751,Kalyani Nagar,3441,5,5,2025,1,38495305
2752,Koregaon Park,1975,4,3,1998,1,22211490
2753,Kalyani Nagar,3293,5,5,2017,1,35067275
2754,Koregaon Park,2801,5,4,2018,1,35604825
2755,Koregaon Park,3894,5,5,1990,1,38716814
2756,Hinjewadi,1407,3,3,2023,1,8676275
2757,Koregaon Park,884,2,2,1993,0,9669543
2758,Pimpri-Chinchwad,916,2,2,2012,1,6272264
2759,Pimpri-Chinchwad,2780,5,5,2003,1,17624855
